ITEM  ,QTY  ,RATE  ,AMOUNT  ,Invoice_Tax,Invoice_ID,Issue_Date,Due_Date,Customer_Name,Customer_EmailID,Customer_Phone,Customer_Address,Business_Street,Business_City,Business_Country,Business_ZipCode,Business_Name,Business_Description
﻿Rustic Rubber Gloves  ,102,29,$2958  ,10.0,Invoice# NL57EPAS7793742478,12-05-2023,08-07-2023,Willis Koelpin ,Willis_Koelpin4@yahoo.com,783-402-5895 ,353 Cara Shoals Suchitlán ," 3741 Glory Road,","Jamestown,","Tennessee, USA",38556,NearBy Electronics ,We are here to serve you better. Reach out to us in case of any concern or feedbacks. 
Fantastic Granite Salad  ,39,27,$1053  ,10.0,Invoice# NL57EPAS7793742478,12-05-2023,08-07-2023,Willis Koelpin ,Willis_Koelpin4@yahoo.com,783-402-5895 ,353 Cara Shoals Suchitlán ," 3741 Glory Road,","Jamestown,","Tennessee, USA",38556,NearBy Electronics ,We are here to serve you better. Reach out to us in case of any concern or feedbacks. 
Small Fresh Salad  ,95,69,$6555  ,10.0,Invoice# NL57EPAS7793742478,12-05-2023,08-07-2023,Willis Koelpin ,Willis_Koelpin4@yahoo.com,783-402-5895 ,353 Cara Shoals Suchitlán ," 3741 Glory Road,","Jamestown,","Tennessee, USA",38556,NearBy Electronics ,We are here to serve you better. Reach out to us in case of any concern or feedbacks. 
Fantastic Metal Chips  ,67,49,$3283  ,10.0,Invoice# NL57EPAS7793742478,12-05-2023,08-07-2023,Willis Koelpin ,Willis_Koelpin4@yahoo.com,783-402-5895 ,353 Cara Shoals Suchitlán ," 3741 Glory Road,","Jamestown,","Tennessee, USA",38556,NearBy Electronics ,We are here to serve you better. Reach out to us in case of any concern or feedbacks. 
Refined Cotton Pants  ,79,72,$5688  ,10.0,Invoice# NL57EPAS7793742478,12-05-2023,08-07-2023,Willis Koelpin ,Willis_Koelpin4@yahoo.com,783-402-5895 ,353 Cara Shoals Suchitlán ," 3741 Glory Road,","Jamestown,","Tennessee, USA",38556,NearBy Electronics ,We are here to serve you better. Reach out to us in case of any concern or feedbacks. 
Ergonomic Concrete Towels  ,35,22,$770  ,10.0,Invoice# NL57EPAS7793742478,12-05-2023,08-07-2023,Willis Koelpin ,Willis_Koelpin4@yahoo.com,783-402-5895 ,353 Cara Shoals Suchitlán ," 3741 Glory Road,","Jamestown,","Tennessee, USA",38556,NearBy Electronics ,We are here to serve you better. Reach out to us in case of any concern or feedbacks. 
﻿Awesome Fresh Hat  ,28,60,$1680  ,10.0,Invoice# TG67TS4201156943079376302586,12-05-2023,08-07-2023,Don Zulauf ,Don_Zulauf40@hotmail.com,110-825-4839 ,121 Jacobs River Port-Vila ," 3741 Glory Road,","Jamestown,","Tennessee, USA",38556,NearBy Electronics ,We are here to serve you better. Reach out to us in case of any concern or feedbacks. 
Licensed Fresh Pizza  ,114,94,$10716  ,10.0,Invoice# TG67TS4201156943079376302586,12-05-2023,08-07-2023,Don Zulauf ,Don_Zulauf40@hotmail.com,110-825-4839 ,121 Jacobs River Port-Vila ," 3741 Glory Road,","Jamestown,","Tennessee, USA",38556,NearBy Electronics ,We are here to serve you better. Reach out to us in case of any concern or feedbacks. 
Unbranded Concrete Shirt  ,44,95,$4180  ,10.0,Invoice# TG67TS4201156943079376302586,12-05-2023,08-07-2023,Don Zulauf ,Don_Zulauf40@hotmail.com,110-825-4839 ,121 Jacobs River Port-Vila ," 3741 Glory Road,","Jamestown,","Tennessee, USA",38556,NearBy Electronics ,We are here to serve you better. Reach out to us in case of any concern or feedbacks. 
Sleek Plastic Shirt  ,28,96,$2688  ,10.0,Invoice# TG67TS4201156943079376302586,12-05-2023,08-07-2023,Don Zulauf ,Don_Zulauf40@hotmail.com,110-825-4839 ,121 Jacobs River Port-Vila ," 3741 Glory Road,","Jamestown,","Tennessee, USA",38556,NearBy Electronics ,We are here to serve you better. Reach out to us in case of any concern or feedbacks. 
Rustic Plastic Fish  ,83,44,$3652  ,10.0,Invoice# TG67TS4201156943079376302586,12-05-2023,08-07-2023,Don Zulauf ,Don_Zulauf40@hotmail.com,110-825-4839 ,121 Jacobs River Port-Vila ," 3741 Glory Road,","Jamestown,","Tennessee, USA",38556,NearBy Electronics ,We are here to serve you better. Reach out to us in case of any concern or feedbacks. 
Intelligent Granite Computer  ,117,85,$9945  ,10.0,Invoice# TG67TS4201156943079376302586,12-05-2023,08-07-2023,Don Zulauf ,Don_Zulauf40@hotmail.com,110-825-4839 ,121 Jacobs River Port-Vila ," 3741 Glory Road,","Jamestown,","Tennessee, USA",38556,NearBy Electronics ,We are here to serve you better. Reach out to us in case of any concern or feedbacks. 
Ergonomic Fresh Salad  ,34,25,$850  ,10.0,Invoice# TG67TS4201156943079376302586,12-05-2023,08-07-2023,Don Zulauf ,Don_Zulauf40@hotmail.com,110-825-4839 ,121 Jacobs River Port-Vila ," 3741 Glory Road,","Jamestown,","Tennessee, USA",38556,NearBy Electronics ,We are here to serve you better. Reach out to us in case of any concern or feedbacks. 
Generic Wooden Sausages  ,128,87,$11136  ,10.0,Invoice# TG67TS4201156943079376302586,12-05-2023,08-07-2023,Don Zulauf ,Don_Zulauf40@hotmail.com,110-825-4839 ,121 Jacobs River Port-Vila ," 3741 Glory Road,","Jamestown,","Tennessee, USA",38556,NearBy Electronics ,We are here to serve you better. Reach out to us in case of any concern or feedbacks. 
Handmade Wooden Shoes  ,4,23,$92  ,10.0,Invoice# TG67TS4201156943079376302586,12-05-2023,08-07-2023,Don Zulauf ,Don_Zulauf40@hotmail.com,110-825-4839 ,121 Jacobs River Port-Vila ," 3741 Glory Road,","Jamestown,","Tennessee, USA",38556,NearBy Electronics ,We are here to serve you better. Reach out to us in case of any concern or feedbacks. 
﻿Handcrafted Fresh Tuna  ,26,71,$1846  ,10.0,Invoice# SV88JAVJ47172859123136611107,12-05-2023,14-06-2023,Terri Ernser ,Terri.Ernser@yahoo.com ,415-897-1517 ,231 Jayne Fields Mwanza ," 3741 Glory Road,","Jamestown,","Tennessee, USA",38556,NearBy Electronics ,We are here to serve you better. Reach out to us in case of any concern or feedbacks. 
Fantastic Wooden Car  ,105,38,$3990  ,10.0,Invoice# SV88JAVJ47172859123136611107,12-05-2023,14-06-2023,Terri Ernser ,Terri.Ernser@yahoo.com ,415-897-1517 ,231 Jayne Fields Mwanza ," 3741 Glory Road,","Jamestown,","Tennessee, USA",38556,NearBy Electronics ,We are here to serve you better. Reach out to us in case of any concern or feedbacks. 
